12:54:12 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
12:54:13 INFO  tests.TestsBase - Name of test --->removeAllContactTest
12:54:13 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
12:54:18 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
12:54:18 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
12:54:18 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
12:54:19 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
12:54:19 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
12:54:19 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
12:54:19 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
12:54:20 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
12:54:20 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
12:54:20 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:21 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:21 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:21 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:21 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:21 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:21 INFO  manager.HelperBase - Before remove 'contact tests' count was --->14
12:54:21 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:21 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:21 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:21 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:22 INFO  manager.HelperBase - The phone number of removed contact was --->12345671814
12:54:22 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:22 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:22 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:22 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:24 INFO  manager.HelperBase - After remove contact count is --->13
12:54:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:24 INFO  manager.HelperBase - Before remove 'contact tests' count was --->13
12:54:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:24 INFO  manager.HelperBase - The phone number of removed contact was --->12345671861
12:54:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:24 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:24 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:27 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:27 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:27 INFO  manager.HelperBase - After remove contact count is --->12
12:54:27 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:27 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:27 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:27 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:27 INFO  manager.HelperBase - Before remove 'contact tests' count was --->12
12:54:27 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:27 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:27 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:27 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:27 INFO  manager.HelperBase - The phone number of removed contact was --->n
12:54:27 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:27 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:27 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:27 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:29 INFO  manager.HelperBase - After remove contact count is --->11
12:54:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:29 INFO  manager.HelperBase - Before remove 'contact tests' count was --->11
12:54:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:29 INFO  manager.HelperBase - The phone number of removed contact was --->1234567891
12:54:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:29 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:29 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:31 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:32 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:32 INFO  manager.HelperBase - After remove contact count is --->10
12:54:32 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:32 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:32 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:32 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:32 INFO  manager.HelperBase - Before remove 'contact tests' count was --->10
12:54:32 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:32 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:32 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:32 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:32 INFO  manager.HelperBase - The phone number of removed contact was --->1234567892
12:54:32 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:32 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:32 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:32 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:34 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:34 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:34 INFO  manager.HelperBase - After remove contact count is --->9
12:54:34 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:34 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:34 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:34 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:34 INFO  manager.HelperBase - Before remove 'contact tests' count was --->9
12:54:34 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:34 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:34 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:34 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:34 INFO  manager.HelperBase - The phone number of removed contact was --->1234567893
12:54:34 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:34 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:34 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:34 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:36 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:36 INFO  manager.HelperBase - After remove contact count is --->8
12:54:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:36 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:36 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:36 INFO  manager.HelperBase - Before remove 'contact tests' count was --->8
12:54:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:36 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:37 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:37 INFO  manager.HelperBase - The phone number of removed contact was --->444445555666
12:54:37 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:37 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:37 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:37 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:39 INFO  manager.HelperBase - After remove contact count is --->7
12:54:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:39 INFO  manager.HelperBase - Before remove 'contact tests' count was --->7
12:54:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:39 INFO  manager.HelperBase - The phone number of removed contact was --->444445555664
12:54:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:39 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:39 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:41 INFO  manager.HelperBase - After remove contact count is --->6
12:54:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:41 INFO  manager.HelperBase - Before remove 'contact tests' count was --->6
12:54:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM h3
12:54:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM h3 was found
12:54:41 INFO  manager.HelperBase - The phone number of removed contact was --->12345673242
12:54:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:42 INFO  manager.MyListener - Start find element ---> By.xpath: //button[text()='Remove']
12:54:42 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[text()='Remove'] was found
12:54:44 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:44 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:44 INFO  manager.HelperBase - After remove contact count is --->5
12:54:44 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:44 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
12:54:44 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
12:54:44 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
